Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Issue of Capital and Disclosure Requirements,"regulation ,2009(the""sebi)",242e721c619adbbad0f08527454194c4.docx,"['listing', 'confirmation', 'potential', 'transaction', 'informal']"
Issue of Capital and Disclosure Requirements,"regulation ,2009(the""sebiicdrregulations"")",242e721c619adbbad0f08527454194c4.docx,"['listing', 'confirmation', 'potential', 'transaction', 'informal']"
Issue of Capital and Disclosure Requirements,regulation  74),242e721c619adbbad0f08527454194c4.docx,"['composite', 'approvals', 'allotment', 'scheme', 'listing']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),250770860073d543dce2d50101ca7c1a.docx,"['exemption', 'shares', 'terms', 'years', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),2554852409909391353de0a4079cb6cf.docx,"['guidance', 'shares', 'company', 'zenotech', 'acquirer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""sebi)",2554852409909391353de0a4079cb6cf.docx,"['guidance', 'shares', 'company', 'zenotech', 'informal']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""sebitakeoverregulations"")",2554852409909391353de0a4079cb6cf.docx,"['guidance', 'shares', 'company', 'zenotech', 'informal']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),2554852409909391353de0a4079cb6cf.docx,"['company', 'shares', 'voting', 'rights', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  10),2554852409909391353de0a4079cb6cf.docx,"['shares', 'company', 'target', 'offer', 'persons']"
Substantial Acquisition of Shares and Takeovers,regulation  3),2554852409909391353de0a4079cb6cf.docx,"['shares', 'company', 'target', 'offer', 'persons']"
Substantial Acquisition of Shares and Takeovers,regulation  4),2554852409909391353de0a4079cb6cf.docx,"['shares', 'company', 'target', 'offer', 'persons']"
Substantial Acquisition of Shares and Takeovers,"regulation 
10(1)",2554852409909391353de0a4079cb6cf.docx,"['sun', 'pharma', 'zenotech', 'purpose', 'query']"
Substantial Acquisition of Shares and Takeovers,regulation  23(6),257d5cfed82c056c72e7af42b56a3af5.docx,"['banker', 'completion', 'merchant', 'certificate', 'letter']"
Substantial Acquisition of Shares and Takeovers,regulation  11),2635610e6b13a195247363fdafc2edf5.docx,"['substantial', 'ltd', 'letter', 'interpretive', 'letters']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(the)",2635610e6b13a195247363fdafc2edf5.docx,"['substantial', 'ltd', 'letter', 'interpretive', 'letters']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),2635610e6b13a195247363fdafc2edf5.docx,"['shares', 'allotment', 'rights', 'accordance', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),2635610e6b13a195247363fdafc2edf5.docx,"['reference', 'scheme', 'merger', 'amalgamation', 'arrangement']"
Substantial Acquisition of Shares and Takeovers,regulation  10),2635610e6b13a195247363fdafc2edf5.docx,"['reference', 'arrangement', 'reconstruction', 'merger', 'scheme']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""sebi)",268f0fa033f96aa016c800874ff7de49.docx,"['dow', 'france', 'group', 'shares', 'guidance']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),268f0fa033f96aa016c800874ff7de49.docx,"['company', 'target', 'shares', 'rights', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),268f0fa033f96aa016c800874ff7de49.docx,"['company', 'target', 'shares', 'rights', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  4),268f0fa033f96aa016c800874ff7de49.docx,"['management', 'rights', 'company', 'target', 'control']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),268f0fa033f96aa016c800874ff7de49.docx,"['company', 'control', 'rights', 'management', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  5),268f0fa033f96aa016c800874ff7de49.docx,"['shares', 'acquisition', 'france', 'rights', 'chain']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),268f0fa033f96aa016c800874ff7de49.docx,"['company', 'acquisition', 'entities', 'target', 'step']"
Substantial Acquisition of Shares and Takeovers,regulation  3),268f0fa033f96aa016c800874ff7de49.docx,"['shares', 'france', 'step', 'chain', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  10),268f0fa033f96aa016c800874ff7de49.docx,"['shares', 'france', 'chain', 'acquisition', 'step']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),268f0fa033f96aa016c800874ff7de49.docx,"['step', 'transactions', 'entities', 'filings', 'view']"
Substantial Acquisition of Shares and Takeovers,regulation  10(6),268f0fa033f96aa016c800874ff7de49.docx,"['entities', 'step', 'transferees', 'transfer', 'intrarit']"
Substantial Acquisition of Shares and Takeovers,regulation  10(7),268f0fa033f96aa016c800874ff7de49.docx,"['step', 'merger', 'france', 'provisions', 'entities']"
Listing Obligations and Disclosure Requirements,"regulation ,2015(""sebi)",27641704443efe47d207bf80ada68e3f.docx,"['guidance', 'respect', 'listing', 'interpretation', 'obligations']"
Listing Obligations and Disclosure Requirements,regulation  7(a),27641704443efe47d207bf80ada68e3f.docx,"['regd', 'pharmaceuticals', 'limitedpage', 'alembic', 'sub']"
Substantial Acquisition of Shares and Takeovers,regulation  6),2827003f8a39849b28937fabe5d06706.docx,"['exchange', 'target', 'chapter', 'promoter', 'aareement']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),2827003f8a39849b28937fabe5d06706.docx,"['company', 'promoter', 'target', 'promoters', 'transferee']"
Substantial Acquisition of Shares and Takeovers,regulation  20(4),2827003f8a39849b28937fabe5d06706.docx,"['acquirer', 'acquisition', 'terms', 'target', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  3(:),2827003f8a39849b28937fabe5d06706.docx,"['terms', 'acquirer', 'transferee', 'price', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),2827003f8a39849b28937fabe5d06706.docx,"['transferee', 'topstar', 'shares', 'target', 'company']"
Issue of Capital and Disclosure Requirements,"regulation ,2011)",2a3ca2b02629f0a7221b0c0588684336.docx,"['letter', 'respect', 'requirements', 'substantial', 'subject']"
Issue of Capital and Disclosure Requirements,regulation  72),2a3ca2b02629f0a7221b0c0588684336.docx,"['promoter', 'issue', 'group', 'transfer', 'conditions']"
Issue of Capital and Disclosure Requirements,"regulation ,2011(takeoverregulations)",2a3ca2b02629f0a7221b0c0588684336.docx,"['shares', 'transfer', 'promoter', 'group', 'guidance']"
Substantial Acquisition of Shares and Takeovers,regulation  10),2a3ca2b02629f0a7221b0c0588684336.docx,"['shares', 'promoter', 'transfer', 'company', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  29),2a3ca2b02629f0a7221b0c0588684336.docx,"['promoter', 'transfer', 'group', 'shares', 'filing']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",2a3ca2b02629f0a7221b0c0588684336.docx,"['shares', 'transfer', 'promoter', 'group', 'guidance']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),2a3ca2b02629f0a7221b0c0588684336.docx,"['company', 'shares', 'acquirer', 'voting', 'view']"
Substantial Acquisition of Shares and Takeovers,regulation  3),2a3ca2b02629f0a7221b0c0588684336.docx,"['case', 'view', 'queries', 'matter', 'aforesaid']"
Substantial Acquisition of Shares and Takeovers,regulation  4),2a3ca2b02629f0a7221b0c0588684336.docx,"['case', 'view', 'queries', 'matter', 'aforesaid']"
Issue and Listing of Debt Securities,regulation  4(3),2c2886058b95e9ae243d3852d49cd40c.docx,"['merchant', 'bankers', 'issue', 'debt', 'listing']"
Infrastructure Investment Trusts,regulation  4(2),2b115ec2c59c57dd398c3cbb94c821b4.docx,"['letter', 'manager', 'identified', 'investment', 'invit']"
Infrastructure Investment Trusts,regulation  19(4),2b115ec2c59c57dd398c3cbb94c821b4.docx,"['investment', 'manager', 'provision', 'para', 'transactions']"
Issue of Capital and Disclosure Requirements,regulation  72(2),2b1e28c4ab721d237cb836640f22fa75.docx,"['explanation', 'guidance', 'gift', 'issue', 'seri']"
Issue of Capital and Disclosure Requirements,regulation  5(3),307e76f9a79fa4d9ccc60b126364b732.docx,"['merchant', 'banker', 'issue', 'obligations', 'issuer']"
Issue of Capital and Disclosure Requirements,regulation  2009),307e76f9a79fa4d9ccc60b126364b732.docx,"['merchant', 'banker', 'issue', 'obligations', 'issuer']"
Substantial Acquisition of Shares and Takeovers,regulation  12(1),307e76f9a79fa4d9ccc60b126364b732.docx,"['acquirer', 'associate', 'merchant', 'board', 'person']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),314edea742cd9a4057bd9852cc12b479.docx,"['promoter', 'group', 'company', 'issue', 'warrants']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",31a77938c190a318bec32e46fe0b13bc.docx,"['limited', 'systems', 'substantial', 'company', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  20(2),31a77938c190a318bec32e46fe0b13bc.docx,"['offer', 'shares', 'acquirer', 'dps', 'reference']"
Substantial Acquisition of Shares and Takeovers,regulation  20(10),31a77938c190a318bec32e46fe0b13bc.docx,"['offer', 'shares', 'acquirer', 'reference', 'analysis']"
Substantial Acquisition of Shares and Takeovers,regulation  20),31a77938c190a318bec32e46fe0b13bc.docx,"['offer', 'shares', 'acquirer', 'reference', 'analysis']"
Issue of Capital and Disclosure Requirements,regulation  71),353c3f3f3df3aa087ec4c98a4d9bda64.docx,"['date', 'issue', 'company', 'allotment', 'days']"
Issue of Capital and Disclosure Requirements,regulation  78(6),353c3f3f3df3aa087ec4c98a4d9bda64.docx,"['date', 'allotment', 'period', 'purposes', 'issue']"
Investment Advisers,"regulation ,2013)",359aadf039424d61fbc4f33d43e236e1.docx,"['investment', 'merchant', 'clause', 'lakhotia', 'nitin']"
Merchant Bankers,"regulation ,2013)",359aadf039424d61fbc4f33d43e236e1.docx,"['investment', 'merchant', 'clause', 'informal', 'guidance']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),35ad0c904062796a7ddc939b1875b6b2.docx,"['everett', 'concert', 'offer', 'xsl', 'merger']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),35ad0c904062796a7ddc939b1875b6b2.docx,"['scheme', 'offer', 'demergers', 'high', 'code']"
Substantial Acquisition of Shares and Takeovers,regulation  3),3ded4834685f69c7f0044cc1f3776c80.docx,"['shares', 'acquisition', 'persons', 'company', 'shareholding']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),3ded4834685f69c7f0044cc1f3776c80.docx,"['acquisition', 'company', 'shares', 'alps', 'promoter']"
Substantial Acquisition of Shares and Takeovers,regulation  10),3ded4834685f69c7f0044cc1f3776c80.docx,"['transfer', 'persons', 'subject', 'shares', 'shareholding']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),3ded4834685f69c7f0044cc1f3776c80.docx,"['shares', 'company', 'voting', 'acquisition', 'rights']"
Substantial Acquisition of Shares and Takeovers,regulation  2),3ded4834685f69c7f0044cc1f3776c80.docx,"['shares', 'company', 'voting', 'acquisition', 'rights']"
Substantial Acquisition of Shares and Takeovers,regulation  5),3ded4834685f69c7f0044cc1f3776c80.docx,"['shares', 'acquisition', 'company', 'person', 'offer']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),3ded4834685f69c7f0044cc1f3776c80.docx,"['persons', 'shareholding', 'provisions', 'concert', 'scenario']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",3e1ecdbf63b916e4765eda801f9b4b21.docx,"['elder', 'india', 'shares', 'acquisition', 'pharmaceuticals']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),3e1ecdbf63b916e4765eda801f9b4b21.docx,"['shares', 'elder', 'saxena', 'persons', 'shareholding']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),3e1ecdbf63b916e4765eda801f9b4b21.docx,"['promoter', 'target', 'company', 'shareholding', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  3),3e1ecdbf63b916e4765eda801f9b4b21.docx,"['transaction', 'company', 'saxena', 'target', 'accordance']"
Substantial Acquisition of Shares and Takeovers,regulation  28(3),3e1ecdbf63b916e4765eda801f9b4b21.docx,"['meaning', 'encumbrance', 'term', 'dummy']"
Issue of Capital and Disclosure Requirements,regulation  2(1),3e1ecdbf63b916e4765eda801f9b4b21.docx,"['promoter', 'group', 'requirements', 'issue', 'disclosure']"
Issue of Capital and Disclosure Requirements,"regulation ,2009)",3e1ecdbf63b916e4765eda801f9b4b21.docx,"['promoter', 'group', 'requirements', 'issue', 'disclosure']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),3f765fb83173201c91d82f76d7b25056.docx,"['shares', 'voting', 'rights', 'cent', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997()",3f765fb83173201c91d82f76d7b25056.docx,"['shares', 'acquisition', 'request', 'interpretive', 'promoters']"
Substantial Acquisition of Shares and Takeovers,regulation  11(2),3f765fb83173201c91d82f76d7b25056.docx,"['shares', 'rights', 'voting', 'acquirer', 'cent']"
Delisting of Equity Shares,regulation  4(1),3f287c4b035660a3d71efa5ba8fa1dcb.docx,"['company', 'shares', 'equity', 'exchange', 'stock']"
Delisting of Equity Shares,regulation  4(i),3f287c4b035660a3d71efa5ba8fa1dcb.docx,"['scheme', 'circumstances', 'interpretive', 'guidance', 'provisions']"
Mutual Funds,regulation  2(o),3fcec336435cec872c5847799f47d4e7.docx,"['money', 'instruments', 'bills', 'market', 'instrument']"
Mutual Funds,regulation  18(15a),3fcec336435cec872c5847799f47d4e7.docx,"['scheme', 'change', 'unitholders', 'submissions', 'income']"
Mutual Funds,regulation  18(15a),43417205269f7e2985f00e702091ea50.docx,"['scheme', 'change', 'guidance', 'income', 'investment']"
Mutual Funds,regulation  18),43417205269f7e2985f00e702091ea50.docx,"['facts', 'blackrock', 'respect', 'dsp', 'term']"
Mutual Funds,regulation  2(o),43417205269f7e2985f00e702091ea50.docx,"['scheme', 'objective', 'asset', 'allocation', 'instruments']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),43ea6e77f1ae41e2d0f0fdc6b759cb35.docx,"['saxena', 'shares', 'terms', 'alok', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),43ea6e77f1ae41e2d0f0fdc6b759cb35.docx,"['shares', 'transfer', 'years', 'shareholding', 'exemption']"
Prohibition of Insider Trading,"regulation ,2015)",43fc227f652dd198c5d2a2653b25931c.docx,"['trade', 'borrowing', 'floor', 'alpha', 'office']"
Prohibition of Insider Trading,regulation  4),43fc227f652dd198c5d2a2653b25931c.docx,"['slb', 'section', 'transactions', 'company', 'transfer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997("")",451a45f1b39a5d4266c3e4924ee9def8.docx,"['acquisition', 'shares', 'offer', 'gdrs', 'requirements']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(""takeoverregulations"")",451a45f1b39a5d4266c3e4924ee9def8.docx,"['acquisition', 'shares', 'offer', 'gdrs', 'requirements']"
Substantial Acquisition of Shares and Takeovers,regulation  7),451a45f1b39a5d4266c3e4924ee9def8.docx,"['rights', 'clarification', 'chapter', 'time', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),451a45f1b39a5d4266c3e4924ee9def8.docx,"['mtn', 'clarification', 'chapter', 'light', 'exchange']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),45ca3373b2450e3f1d343598b6074078.docx,"['viz', 'letter', 'shares', 'acquisition', 'view']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997()",45ca3373b2450e3f1d343598b6074078.docx,"['letter', 'shares', 'acquisition', 'request', 'interpretive']"
Substantial Acquisition of Shares and Takeovers,regulation  11(2),45ca3373b2450e3f1d343598b6074078.docx,"['viz', 'promoters', 'aforesaid', 'proviso', 'provisions']"
Share Based Employee Benefits,"regulation ,2018(""buybackregulations"")",47814fdaee42ab4b12ecfbe1f68f4269.docx,"['guidance', 'letter', 'way', 'relation', 'interpretative']"
Share Based Employee Benefits,regulation  18(1),47814fdaee42ab4b12ecfbe1f68f4269.docx,"['period', 'company', 'shares', 'section', 'buyback']"
Share Based Employee Benefits,regulation  24(i),47814fdaee42ab4b12ecfbe1f68f4269.docx,"['shares', 'buyback', 'exchange', 'board', 'position']"
Substantial Acquisition of Shares and Takeovers,regulation  3),48cb28def8403d9e0acb717320bf6beb.docx,"['shares', 'company', 'voting', 'acquisition', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),48cb28def8403d9e0acb717320bf6beb.docx,"['family', 'agarwal', 'tree', 'relatives', 'members']"
Substantial Acquisition of Shares and Takeovers,regulation  4),48cb28def8403d9e0acb717320bf6beb.docx,"['shares', 'company', 'voting', 'acquisition', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  2),48cb28def8403d9e0acb717320bf6beb.docx,"['shares', 'company', 'voting', 'acquisition', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  10),48cb28def8403d9e0acb717320bf6beb.docx,"['shares', 'company', 'voting', 'acquisition', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  5),48cb28def8403d9e0acb717320bf6beb.docx,"['shares', 'acquisition', 'company', 'person', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),48cb28def8403d9e0acb717320bf6beb.docx,"['shares', 'acquisition', 'code', 'company', 'persons']"
Mutual Funds,regulation  25(15),49ea1e1c8cfc0c8c1e3f613d793c9fe4.docx,"['point', 'amc', 'proviso', 'activities', 'work']"
Mutual Funds,regulation  18(27(ii),49ea1e1c8cfc0c8c1e3f613d793c9fe4.docx,"['asset', 'company', 'management', 'funds', 'mutual']"
Mutual Funds,"regulation ,1993)",49ea1e1c8cfc0c8c1e3f613d793c9fe4.docx,"['applicability', 'registrar', 'funds', 'mutual', 'questions']"
Substantial Acquisition of Shares and Takeovers,regulation  8),51595e90f3e44afe281be9ddfd4820be.docx,"['offer', 'provision', 'market', 'requirements', 'consequent']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),51595e90f3e44afe281be9ddfd4820be.docx,"['offer', 'transaction', 'letter', 'requirements', 'statement']"
Substantial Acquisition of Shares and Takeovers,regulation  3),51595e90f3e44afe281be9ddfd4820be.docx,"['letter', 'statement', 'scheme', 'regard', 'party']"
Substantial Acquisition of Shares and Takeovers,regulation  10),51595e90f3e44afe281be9ddfd4820be.docx,"['shares', 'transfer', 'acquisition', 'offer', 'extracts']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),51595e90f3e44afe281be9ddfd4820be.docx,"['persons', 'concert', 'sub', 'relative', 'relatives']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),51595e90f3e44afe281be9ddfd4820be.docx,"['offer', 'requirements', 'transaction', 'compliance', 'subject']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",51595e90f3e44afe281be9ddfd4820be.docx,"['offer', 'transaction', 'requirements', 'equity', 'conversion']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),51595e90f3e44afe281be9ddfd4820be.docx,"['offer', 'transaction', 'requirements', 'compliance', 'subject']"
Prohibition of Insider Trading,regulation  4(1),51595e90f3e44afe281be9ddfd4820be.docx,"['transactions', 'hereinabove', 'transaction', 'letter', 'market']"
Prohibition of Insider Trading,"regulation ,2015()",51595e90f3e44afe281be9ddfd4820be.docx,"['transactions', 'hereinabove', 'transaction', 'letter', 'market']"
Prohibition of Insider Trading,regulation  7(2),519c7e08f65b3533ca8b2703ad3a7df4.docx,"['value', 'days', 'company', 'number', 'queries']"
Prohibition of Insider Trading,"regulation ,2015)",519c7e08f65b3533ca8b2703ad3a7df4.docx,"['value', 'days', 'company', 'number', 'queries']"
Prohibition of Insider Trading,regulation  6(2),519c7e08f65b3533ca8b2703ad3a7df4.docx,"['upsi', 'respect', 'rqpigq', 'continuation', 'aitt']"
Mutual Funds,"regulation ,1996)",522e96838459679f6ec5a5124a66e5b7.docx,"['guidance', 'informal', 'mutual', 'letter', 'nav']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),5252badd23e62e1214d5d26d13b5a0d5.docx,"['shares', 'letter', 'calculation', 'khosla', 'trust']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),5252badd23e62e1214d5d26d13b5a0d5.docx,"['shares', 'letter', 'calculation', 'trust', 'share']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",5252badd23e62e1214d5d26d13b5a0d5.docx,"['shares', 'letter', 'calculation', 'trust', 'share']"
Listing Obligations and Disclosure Requirements,regulation  24(1),52d474e87b4e8e8731365afaedb4f27b.docx,"['kcp', 'company', 'board', 'vietnam', 'subsidiary']"
Listing Obligations and Disclosure Requirements,"regulation ,2015(hereinafterreferredtoas)",52d474e87b4e8e8731365afaedb4f27b.docx,"['vietnam', 'subsidiary', 'kcp', 'material', 'hereinafter']"
Listing Obligations and Disclosure Requirements,regulation  24),52d474e87b4e8e8731365afaedb4f27b.docx,"['kcp', 'company', 'subsidiary', 'board', 'vietnam']"
Prohibition of Insider Trading,"regulation ,2011)",53073befb6a4ffcc752df390bb395747.docx,"['respect', 'board', 'letter', 'substantial', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),53073befb6a4ffcc752df390bb395747.docx,"['view', 'promoter', 'group', 'exemption', 'analysis']"
Substantial Acquisition of Shares and Takeovers,regulation  10),53073befb6a4ffcc752df390bb395747.docx,"['promoter', 'group', 'exemption', 'issues', 'exchange']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2015)",53073befb6a4ffcc752df390bb395747.docx,"['view', 'exemption', 'analysis', 'persons', 'reference']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),53073befb6a4ffcc752df390bb395747.docx,"['person', 'spouse', 'relative', 'india', 'compliance']"
Substantial Acquisition of Shares and Takeovers,regulation  3),53073befb6a4ffcc752df390bb395747.docx,"['position', 'view', 'information', 'exemption', 'transfer']"
Listing Obligations and Disclosure Requirements,regulation  37),538a70d3e3ce1940c9a1e9eab7fd26b2.docx,"['letter', 'guidance', 'hfil', 'scheme', 'rjl']"
Listing Obligations and Disclosure Requirements,"regulation ,2015()",538a70d3e3ce1940c9a1e9eab7fd26b2.docx,"['hfil', 'scheme', 'rjl', 'draft', 'nkdel']"
Listing Obligations and Disclosure Requirements,regulation  37(6),538a70d3e3ce1940c9a1e9eab7fd26b2.docx,"['hfil', 'nkdel', 'rjl', 'letter', 'aforesaid']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'infrastructure', 'group', 'body', 'trust']"
Substantial Acquisition of Shares and Takeovers,regulation  10),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'infrastructure', 'limited', 'shares', 'board']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'aforesaid', 'visainfra', 'limited', 'threshold']"
Substantial Acquisition of Shares and Takeovers,regulation  12),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'limited', 'board', 'infrastructure', 'company']"
Substantial Acquisition of Shares and Takeovers,"regulation ,10)",5447c01c0c12d33e432c52f6949b164a.docx,"['letter', 'visainfra', 'target', 'shares', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  11),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'limited', 'board', 'infrastructure', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  6),5447c01c0c12d33e432c52f6949b164a.docx,"['target', 'company', 'visa', 'shares', 'limited']"
Substantial Acquisition of Shares and Takeovers,regulation  7),5447c01c0c12d33e432c52f6949b164a.docx,"['target', 'company', 'visa', 'shares', 'limited']"
Substantial Acquisition of Shares and Takeovers,regulation  8),5447c01c0c12d33e432c52f6949b164a.docx,"['target', 'company', 'visa', 'shares', 'limited']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'transaction', 'company', 'limited', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  4(2),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'limited', 'board', 'infrastructure', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  5),5447c01c0c12d33e432c52f6949b164a.docx,"['visa', 'limited', 'board', 'infrastructure', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  20(4),54f4d321ece55a5366a96922a27d1673.docx,"['shares', 'price', 'acquirer', 'transferor', 'strand']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),54f4d321ece55a5366a96922a27d1673.docx,"['india', 'shares', 'transfer', 'promoters', 'aforesaid']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(the)",55be4ec57a98bfa5546ef34a62151175.docx,"['acquisition', 'group', 'shares', 'reference', 'analysis']"
Substantial Acquisition of Shares and Takeovers,regulation  10),55be4ec57a98bfa5546ef34a62151175.docx,"['group', 'acquisition', 'shares', 'reference', 'analysis']"
Substantial Acquisition of Shares and Takeovers,regulation  6),55be4ec57a98bfa5546ef34a62151175.docx,"['transferee', 'target', 'company', 'transferor', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),55be4ec57a98bfa5546ef34a62151175.docx,"['terms', 'format', 'company', 'days', 'date']"
Substantial Acquisition of Shares and Takeovers,regulation  3(4),55be4ec57a98bfa5546ef34a62151175.docx,"['transferee', 'target', 'repot', 'annual', 'names']"
Alternative Investment Funds,regulation  19),5573f4039d5a9ccd83a5ad4abd0b5457.docx,"['angel', 'letter', 'fund', 'undertaking', 'investment']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),56349e3a7e9293fff2986d9a063f308f.docx,"['threshold', 'shares', 'transfer', 'letter', 'reference']"
Substantial Acquisition of Shares and Takeovers,regulation  3),56349e3a7e9293fff2986d9a063f308f.docx,"['letter', 'threshold', 'reference', 'proviso', 'shares']"
Know Your Client,"regulation ,2011()",575b4b1cfc60960e606e3162a472b856.docx,"['kyc', 'client', 'letter', 'documents', 'guidance']"
Know Your Client,"regulation ,2011(kraregulations)",575b4b1cfc60960e606e3162a472b856.docx,"['kyc', 'client', 'letter', 'documents', 'guidance']"
Know Your Client,regulation  14),575b4b1cfc60960e606e3162a472b856.docx,"['kyc', 'client', 'letter', 'board', 'documents']"
Know Your Client,regulation  16(b),575b4b1cfc60960e606e3162a472b856.docx,"['client', 'kyc', 'intermediary', 'information', 'details']"
Foreign Portfolio Investors,regulation  14),575b4b1cfc60960e606e3162a472b856.docx,"['kyc', 'client', 'documents', 'diligence', 'system']"
Prohibition of Insider Trading,"regulation ,2015)",58056e21716fe4171afe76875edeb928.docx,"['value', 'company', 'disclosure', 'days', 'transaction']"
Prohibition of Insider Trading,regulation  2(1),58056e21716fe4171afe76875edeb928.docx,"['company', 'derivatives', 'shareholdi', 'promoter', 'director']"
Listing Obligations and Disclosure Requirements,regulation  33(3),581102f3ad857fc57bd3ea138e9a5443.docx,"['guidance', 'company', 'letter', 'entity', 'informal']"
Prohibition of Insider Trading,"regulation ,1992)",595c6158f28bd01870e7a46a4dff45d5.docx,"['company', 'change', 'terms', 'trust', 'shares']"
Prohibition of Insider Trading,regulation  13(4),595c6158f28bd01870e7a46a4dff45d5.docx,"['company', 'change', 'terms', 'trust', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),59e5fd82e8da983c02d4443aee16e0a5.docx,"['scheme', 'shares', 'target', 'company', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",59e5fd82e8da983c02d4443aee16e0a5.docx,"['shares', 'acquisition', 'company', 'terms', 'persons']"
Substantial Acquisition of Shares and Takeovers,regulation  10),59e5fd82e8da983c02d4443aee16e0a5.docx,"['confirmation', 'code', 'requirement', 'clarification', 'aforesaid']"
