Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Substantial Acquisition of Shares and Takeovers,regulation  28(3),09799b6a73cc22af76607ac785198505.docx,"['term', 'encumbrance', 'scope', 'response', 'question']"
Substantial Acquisition of Shares and Takeovers,regulation  31),09799b6a73cc22af76607ac785198505.docx,"['transparency', 'encumbrance', 'promoters', 'company', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  32(2),09799b6a73cc22af76607ac785198505.docx,"['shares', 'term', 'equity', 'promoters', 'fpis']"
Foreign Portfolio Investors,regulation  32(2),09799b6a73cc22af76607ac785198505.docx,"['shares', 'term', 'equity', 'promoters', 'fpis']"
Prohibition of Insider Trading,regulation  4(1),09b04a4ec8e0b7de535a6e1933a27689.docx,"['plan', 'letter', 'trades', 'scheme', 'reference']"
Prohibition of Insider Trading,"regulation ,2015()",09b04a4ec8e0b7de535a6e1933a27689.docx,"['letter', 'scheme', 'trades', 'plan', 'informal']"
Prohibition of Insider Trading,regulation  5),09b04a4ec8e0b7de535a6e1933a27689.docx,"['possession', 'plan', 'promoter', 'trades', 'upsi']"
Prohibition of Insider Trading,regulation  4),09b04a4ec8e0b7de535a6e1933a27689.docx,"['possession', 'plan', 'decision', 'individuals', 'price']"
Listing Obligations and Disclosure Requirements,regulation  16(1),09b317a1937217c67f93c05f1243222c.docx,"['director', 'board', 'directors', 'independent', 'definition']"
Listing Obligations and Disclosure Requirements,regulation  17(1a),09b317a1937217c67f93c05f1243222c.docx,"['directors', 'entity', 'exchange', 'term', 'iicontinuationboard']"
Listing Obligations and Disclosure Requirements,regulation  25(1),09b317a1937217c67f93c05f1243222c.docx,"['directors', 'entity', 'exchange', 'term', 'iicontinuationboard']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),0ad38a3db8aca9772aba50419daea1cd.docx,"['shares', 'acquirer', 'allotment', 'acquisition', 'limit']"
Share Based Employee Benefits,"regulation ,2014()",0bb3e5484905de05c3d8ed31619798ee.docx,"['letter', 'investment', 'atia', 'subject', 'provisions']"
Share Based Employee Benefits,regulation  1(4),0bb3e5484905de05c3d8ed31619798ee.docx,"['company', 'india', 'conditions', 'scheme', 'employee']"
Share Based Employee Benefits,regulation  2(1),0bb3e5484905de05c3d8ed31619798ee.docx,"['company', 'india', 'equity', 'director', 'employee']"
Know Your Client,regulation  14),0bdc0549432d597695b932cb25bf035d.docx,"['kyc', 'client', 'documents', 'clause', 'guidance']"
Know Your Client,"regulation ,2011)",0bdc0549432d597695b932cb25bf035d.docx,"['kyc', 'client', 'documents', 'clause', 'guidance']"
